txn_id,txn_date,sku,store_id,quantity,amount
B-900606,2025-09-11,P-202,S-04,1,120.00
B-900607,2025-09-11,P-102,S-04,1,28.00
B-900608,2025-09-11,P-201,S-03,1,95.00
B-900609,2025-09-11,P-201,S-04,1,95.00
B-900610,2025-09-11,P-103,S-01,1,45.00
B-900611,2025-09-11,P-302,S-03,1,3890.00
B-900612,2025-09-11,P-301,S-04,1,2450.00
B-900613,2025-09-11,P-202,S-04,1,120.00
B-900614,2025-09-11,P-202,S-04,3,360.00
B-900615,2025-09-11,P-301,S-02,1,2450.00
B-900616,2025-09-11,P-203,S-05,3,225.00
B-900617,2025-09-11,P-302,S-03,1,3890.00
B-900618,2025-09-11,P-102,S-01,1,28.00
B-900619,2025-09-11,P-201,S-05,1,95.00
B-900620,2025-09-11,P-102,S-02,1,28.00
B-900621,2025-09-11,P-302,S-03,1,3890.00
B-900622,2025-09-11,P-103,S-02,2,90.00
B-900623,2025-09-11,P-301,S-90,2,4900.00
B-900624,2025-09-11,P-102,S-04,1,28.00
B-900625,2025-09-11,P-201,S-06,1,95.00
B-900626,2025-09-11,P-202,S-03,1,120.00
B-900627,2025-09-11,P-102,S-90,1,28.00
B-900628,2025-09-11,P-101,S-03,1,35.00
B-900629,2025-09-11,P-201,S-06,2,190.00
B-900630,2025-09-11,P-101,S-05,1,35.00
B-900631,2025-09-11,P-301,S-06,1,2450.00
B-900632,2025-09-11,P-301,S-03,2,4900.00
B-900633,2025-09-11,P-302,S-06,1,3890.00
B-900634,2025-09-11,P-201,S-02,1,95.00
B-900635,2025-09-11,P-202,S-06,1,120.00
B-900636,2025-09-11,P-201,S-05,1,95.00
B-900637,2025-09-11,P-202,S-06,1,120.00
B-900638,2025-09-11,P-201,S-03,1,95.00
B-900639,2025-09-11,P-103,S-02,1,45.00
B-900640,2025-09-11,P-201,S-05,1,95.00
B-900641,2025-09-11,P-103,S-06,2,90.00
B-900642,2025-09-11,P-103,S-90,1,45.00
B-900643,2025-09-11,P-101,S-02,1,35.00
B-900644,2025-09-11,P-102,S-03,2,56.00
B-900645,2025-09-11,P-301,S-02,1,2450.00
B-900646,2025-09-11,P-203,S-06,1,75.00
B-900647,2025-09-11,P-103,S-05,3,135.00
B-900648,2025-09-11,P-302,S-06,1,3890.00
B-900649,2025-09-11,P-302,S-03,3,11670.00
B-900650,2025-09-11,P-102,S-03,1,28.00
B-900651,2025-09-11,P-301,S-04,2,4900.00
B-900652,2025-09-11,P-201,S-90,2,190.00
B-900653,2025-09-11,P-203,S-06,1,75.00
