txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-900868,2025-09-16,P-203,S-01,หน้าร้าน,1,75.00
B-900869,2025-09-16,P-203,S-05,หน้าร้าน,2,150.00
B-900870,2025-09-16,P-102,S-03,หน้าร้าน,2,56.00
B-900871,2025-09-16,P-201,S-03,หน้าร้าน,2,190.00
B-900872,2025-09-16,P-103,S-90,ออนไลน์,1,45.00
B-900873,2025-09-16,P-202,S-05,หน้าร้าน,1,120.00
B-900874,2025-09-16,P-202,S-03,หน้าร้าน,1,120.00
B-900875,2025-09-16,P-201,S-05,หน้าร้าน,1,95.00
B-900876,2025-09-16,P-202,S-90,ออนไลน์,1,120.00
B-900877,2025-09-16,P-101,S-05,หน้าร้าน,2,70.00
B-900878,2025-09-16,P-101,S-04,หน้าร้าน,2,70.00
B-900879,2025-09-16,P-301,S-04,หน้าร้าน,1,2450.00
B-900880,2025-09-16,P-101,S-01,หน้าร้าน,3,105.00
B-900881,2025-09-16,P-103,S-01,หน้าร้าน,3,135.00
B-900882,2025-09-16,P-102,S-01,หน้าร้าน,1,28.00
B-900883,2025-09-16,P-102,S-02,หน้าร้าน,1,28.00
B-900884,2025-09-16,P-103,S-06,หน้าร้าน,1,45.00
B-900885,2025-09-16,P-103,S-04,หน้าร้าน,2,90.00
B-900886,2025-09-16,P-203,S-90,ออนไลน์,1,75.00
B-900887,2025-09-16,P-103,S-01,หน้าร้าน,1,45.00
B-900888,2025-09-16,P-203,S-01,หน้าร้าน,1,75.00
B-900889,2025-09-16,P-302,S-04,หน้าร้าน,1,3890.00
B-900890,2025-09-16,P-302,S-06,หน้าร้าน,2,7780.00
B-900891,2025-09-16,P-202,S-05,หน้าร้าน,1,120.00
B-900892,2025-09-16,P-201,S-05,หน้าร้าน,2,190.00
B-900893,2025-09-16,P-201,S-04,หน้าร้าน,1,95.00
B-900894,2025-09-16,P-301,S-04,หน้าร้าน,1,2450.00
B-900895,2025-09-16,P-101,S-02,หน้าร้าน,2,70.00
B-900896,2025-09-16,P-202,S-06,หน้าร้าน,1,120.00
B-900897,2025-09-16,P-102,S-05,หน้าร้าน,1,28.00
B-900898,2025-09-16,P-202,S-90,ออนไลน์,1,120.00
B-900899,2025-09-16,P-103,S-04,หน้าร้าน,2,90.00
B-900900,2025-09-16,P-302,S-90,ออนไลน์,1,3890.00
B-900901,2025-09-16,P-102,S-01,หน้าร้าน,1,28.00
B-900902,2025-09-16,P-103,S-03,หน้าร้าน,1,45.00
B-900903,2025-09-16,P-201,S-04,หน้าร้าน,1,95.00
B-900904,2025-09-16,P-302,S-03,หน้าร้าน,1,3890.00
B-900905,2025-09-16,P-302,S-04,หน้าร้าน,1,3890.00
B-900906,2025-09-16,P-101,S-05,หน้าร้าน,1,35.00
B-900907,2025-09-16,P-203,S-03,หน้าร้าน,1,75.00
B-900908,2025-09-16,P-103,S-90,ออนไลน์,1,45.00
B-900909,2025-09-16,P-301,S-01,หน้าร้าน,1,2450.00
B-900910,2025-09-16,P-202,S-01,หน้าร้าน,2,240.00
B-900911,2025-09-16,P-203,S-05,หน้าร้าน,1,75.00
