txn_id,txn_date,sku,store_id,quantity,amount
B-900548,2025-09-10,P-202,S-06,1,120.00
B-900549,2025-09-10,P-301,S-06,1,2450.00
B-900550,2025-09-10,P-101,S-04,1,35.00
B-900551,2025-09-10,P-102,S-03,1,28.00
B-900552,2025-09-10,P-203,S-04,2,150.00
B-900553,2025-09-10,P-301,S-03,2,4900.00
B-900554,2025-09-10,P-103,S-06,2,90.00
B-900555,2025-09-10,P-203,S-04,1,75.00
B-900556,2025-09-10,P-202,S-01,2,240.00
B-900557,2025-09-10,P-102,S-01,3,84.00
B-900558,2025-09-10,P-103,S-06,2,90.00
B-900559,2025-09-10,P-302,S-03,1,3890.00
B-900560,2025-09-10,P-302,S-02,1,3890.00
B-900561,2025-09-10,P-302,S-02,1,3890.00
B-900562,2025-09-10,P-102,S-03,1,28.00
B-900563,2025-09-10,P-102,S-01,1,28.00
B-900564,2025-09-10,P-302,S-02,3,11670.00
B-900565,2025-09-10,P-101,S-04,1,35.00
B-900566,2025-09-10,P-302,S-90,1,3890.00
B-900567,2025-09-10,P-103,S-04,1,45.00
B-900568,2025-09-10,P-301,S-06,3,7350.00
B-900569,2025-09-10,P-301,S-90,2,4900.00
B-900570,2025-09-10,P-203,S-02,1,75.00
B-900571,2025-09-10,P-102,S-06,2,56.00
B-900572,2025-09-10,P-202,S-03,1,120.00
B-900573,2025-09-10,P-203,S-02,1,75.00
B-900574,2025-09-10,P-103,S-90,1,45.00
B-900575,2025-09-10,P-203,S-06,1,75.00
B-900576,2025-09-10,P-302,S-05,1,3890.00
B-900577,2025-09-10,P-101,S-04,1,35.00
B-900578,2025-09-10,P-202,S-06,1,120.00
B-900579,2025-09-10,P-301,S-02,1,2450.00
B-900580,2025-09-10,P-103,S-06,1,45.00
B-900581,2025-09-10,P-301,S-05,1,2450.00
B-900582,2025-09-10,P-102,S-04,1,28.00
B-900583,2025-09-10,P-302,S-03,1,3890.00
B-900584,2025-09-10,P-201,S-90,1,95.00
B-900585,2025-09-10,P-102,S-01,1,28.00
B-900586,2025-09-10,P-202,S-03,1,120.00
B-900587,2025-09-10,P-203,S-03,1,75.00
B-900588,2025-09-10,P-301,S-04,2,4900.00
B-900589,2025-09-10,P-203,S-01,1,75.00
B-900590,2025-09-10,P-101,S-90,2,70.00
B-900591,2025-09-10,P-103,S-05,1,45.00
B-900592,2025-09-10,P-101,S-05,1,35.00
B-900593,2025-09-10,P-302,S-06,1,3890.00
B-900594,2025-09-10,P-101,S-03,1,35.00
B-900595,2025-09-10,P-301,S-05,1,2450.00
B-900596,2025-09-10,P-102,S-01,1,28.00
B-900597,2025-09-10,P-203,S-03,1,75.00
B-900598,2025-09-10,P-103,S-01,1,45.00
B-900599,2025-09-10,P-102,S-02,1,28.00
B-900600,2025-09-10,P-201,S-90,1,95.00
B-900601,2025-09-10,P-102,S-06,1,28.00
B-900602,2025-09-10,P-302,S-04,1,3890.00
B-900603,2025-09-10,P-101,S-03,1,35.00
B-900604,2025-09-10,P-102,S-05,1,28.00
B-900605,2025-09-10,P-301,S-90,2,4900.00
