txn_id,txn_date,sku,store_id,quantity,amount
B-900001,2025-09-01,P-103,S-06,1,45.00
B-900002,2025-09-01,P-202,S-90,1,120.00
B-900003,2025-09-01,P-103,S-06,1,45.00
B-900004,2025-09-01,P-301,S-90,1,2450.00
B-900005,2025-09-01,P-101,S-06,2,70.00
B-900006,2025-09-01,P-101,S-04,3,105.00
B-900007,2025-09-01,P-302,S-90,1,3890.00
B-900008,2025-09-01,P-301,S-90,2,4900.00
B-900009,2025-09-01,P-101,S-06,1,35.00
B-900010,2025-09-01,P-102,S-03,2,56.00
B-900011,2025-09-01,P-202,S-01,1,120.00
B-900012,2025-09-01,P-301,S-05,1,2450.00
B-900013,2025-09-01,P-202,S-06,1,120.00
B-900014,2025-09-01,P-103,S-02,2,90.00
B-900015,2025-09-01,P-203,S-90,1,75.00
B-900016,2025-09-01,P-102,S-01,1,28.00
B-900017,2025-09-01,P-201,S-90,2,190.00
B-900018,2025-09-01,P-101,S-90,1,35.00
B-900019,2025-09-01,P-302,S-06,1,3890.00
B-900020,2025-09-01,P-203,S-02,2,150.00
B-900021,2025-09-01,P-201,S-90,2,190.00
B-900022,2025-09-01,P-201,S-90,1,95.00
B-900023,2025-09-01,P-101,S-06,3,105.00
B-900024,2025-09-01,P-101,S-01,1,35.00
B-900025,2025-09-01,P-203,S-01,1,75.00
B-900026,2025-09-01,P-301,S-02,1,2450.00
B-900027,2025-09-01,P-203,S-06,3,225.00
B-900028,2025-09-01,P-101,S-05,1,35.00
B-900029,2025-09-01,P-101,S-05,1,35.00
B-900030,2025-09-01,P-103,S-06,1,45.00
B-900031,2025-09-01,P-202,S-02,2,240.00
B-900032,2025-09-01,P-202,S-90,1,120.00
B-900033,2025-09-01,P-102,S-02,2,56.00
B-900034,2025-09-01,P-302,S-01,1,3890.00
B-900035,2025-09-01,P-203,S-01,2,150.00
B-900036,2025-09-01,P-103,S-06,1,45.00
B-900037,2025-09-01,P-302,S-01,1,3890.00
B-900038,2025-09-01,P-101,S-90,1,35.00
B-900039,2025-09-01,P-103,S-01,2,90.00
B-900040,2025-09-01,P-101,S-01,1,35.00
B-900041,2025-09-01,P-203,S-06,3,225.00
B-900042,2025-09-01,P-301,S-03,1,2450.00
B-900043,2025-09-01,P-301,S-04,1,2450.00
B-900044,2025-09-01,P-103,S-05,3,135.00
B-900045,2025-09-01,P-301,S-02,1,2450.00
B-900046,2025-09-01,P-202,S-03,3,360.00
B-900047,2025-09-01,P-201,S-04,2,190.00
B-900048,2025-09-01,P-102,S-02,1,28.00
B-900049,2025-09-01,P-102,S-06,1,28.00
B-900050,2025-09-01,P-302,S-02,2,7780.00
B-900051,2025-09-01,P-301,S-03,1,2450.00
B-900052,2025-09-01,P-302,S-06,3,11670.00
B-900053,2025-09-01,P-102,S-01,3,84.00
B-900054,2025-09-01,P-102,S-01,1,28.00
B-900055,2025-09-01,P-201,S-02,1,95.00
B-900056,2025-09-01,P-202,S-06,1,120.00
B-900057,2025-09-01,P-202,S-01,1,120.00
B-900058,2025-09-01,P-302,S-01,1,3890.00
B-900059,2025-09-01,P-301,S-06,1,2450.00
