txn_id,txn_date,sku,store_id,quantity,amount
B-900487,2025-09-09,P-302,S-06,1,3890.00
B-900488,2025-09-09,P-202,S-90,3,360.00
B-900489,2025-09-09,P-202,S-90,1,120.00
B-900490,2025-09-09,P-302,S-05,1,3890.00
B-900491,2025-09-09,P-203,S-06,2,150.00
B-900492,2025-09-09,P-302,S-05,2,7780.00
B-900493,2025-09-09,P-101,S-03,3,105.00
B-900494,2025-09-09,P-302,S-05,1,3890.00
B-900495,2025-09-09,P-201,S-01,1,95.00
B-900496,2025-09-09,P-102,S-05,2,56.00
B-900497,2025-09-09,P-101,S-01,2,70.00
B-900498,2025-09-09,P-102,S-04,1,28.00
B-900499,2025-09-09,P-102,S-90,1,28.00
B-900500,2025-09-09,P-302,S-01,1,3890.00
B-900501,2025-09-09,P-102,S-01,3,84.00
B-900502,2025-09-09,P-301,S-03,1,2450.00
B-900503,2025-09-09,P-102,S-06,1,28.00
B-900504,2025-09-09,P-302,S-01,3,11670.00
B-900505,2025-09-09,P-302,S-06,1,3890.00
B-900506,2025-09-09,P-202,S-01,1,120.00
B-900507,2025-09-09,P-102,S-02,1,28.00
B-900508,2025-09-09,P-203,S-02,3,225.00
B-900509,2025-09-09,P-301,S-03,1,2450.00
B-900510,2025-09-09,P-201,S-06,1,95.00
B-900511,2025-09-09,P-101,S-06,1,35.00
B-900512,2025-09-09,P-101,S-02,2,70.00
B-900513,2025-09-09,P-302,S-06,3,11670.00
B-900514,2025-09-09,P-103,S-02,2,90.00
B-900515,2025-09-09,P-103,S-90,1,45.00
B-900516,2025-09-09,P-101,S-03,1,35.00
B-900517,2025-09-09,P-201,S-04,1,95.00
B-900518,2025-09-09,P-202,S-01,1,120.00
B-900519,2025-09-09,P-202,S-05,2,240.00
B-900520,2025-09-09,P-103,S-04,1,45.00
B-900521,2025-09-09,P-203,S-04,1,75.00
B-900522,2025-09-09,P-202,S-06,1,120.00
B-900523,2025-09-09,P-201,S-03,3,285.00
B-900524,2025-09-09,P-302,S-04,1,3890.00
B-900525,2025-09-09,P-101,S-03,1,35.00
B-900526,2025-09-09,P-202,S-90,1,120.00
B-900527,2025-09-09,P-201,S-90,3,285.00
B-900528,2025-09-09,P-301,S-05,1,2450.00
B-900529,2025-09-09,P-202,S-90,1,120.00
B-900530,2025-09-09,P-203,S-04,1,75.00
B-900531,2025-09-09,P-301,S-03,1,2450.00
B-900532,2025-09-09,P-201,S-01,2,190.00
B-900533,2025-09-09,P-203,S-04,3,225.00
B-900534,2025-09-09,P-102,S-05,1,28.00
B-900535,2025-09-09,P-301,S-03,1,2450.00
B-900536,2025-09-09,P-302,S-01,1,3890.00
B-900537,2025-09-09,P-103,S-90,1,45.00
B-900538,2025-09-09,P-103,S-01,1,45.00
B-900539,2025-09-09,P-101,S-04,1,35.00
B-900540,2025-09-09,P-203,S-01,1,75.00
B-900541,2025-09-09,P-302,S-06,2,7780.00
B-900542,2025-09-09,P-102,S-04,1,28.00
B-900543,2025-09-09,P-101,S-05,1,35.00
B-900544,2025-09-09,P-103,S-01,2,90.00
B-900545,2025-09-09,P-201,S-04,1,95.00
B-900546,2025-09-09,P-101,S-02,1,35.00
B-900547,2025-09-09,P-301,S-05,1,2450.00
