txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-900912,2025-09-17,P-203,S-90,ออนไลน์,1,75.00
B-900913,2025-09-17,P-101,S-05,หน้าร้าน,1,35.00
B-900914,2025-09-17,P-302,S-06,หน้าร้าน,1,3890.00
B-900915,2025-09-17,P-201,S-03,หน้าร้าน,2,190.00
B-900916,2025-09-17,P-302,S-03,หน้าร้าน,1,3890.00
B-900917,2025-09-17,P-202,S-90,ออนไลน์,1,120.00
B-900918,2025-09-17,P-301,S-04,หน้าร้าน,1,2450.00
B-900919,2025-09-17,P-102,S-90,ออนไลน์,1,28.00
B-900920,2025-09-17,P-302,S-90,ออนไลน์,1,3890.00
B-900921,2025-09-17,P-103,S-05,หน้าร้าน,2,90.00
B-900922,2025-09-17,P-102,S-01,หน้าร้าน,1,28.00
B-900923,2025-09-17,P-102,S-03,หน้าร้าน,2,56.00
B-900924,2025-09-17,P-102,S-90,ออนไลน์,1,28.00
B-900925,2025-09-17,P-201,S-05,หน้าร้าน,2,190.00
B-900926,2025-09-17,P-202,S-90,ออนไลน์,2,240.00
B-900927,2025-09-17,P-101,S-01,หน้าร้าน,2,70.00
B-900928,2025-09-17,P-201,S-01,หน้าร้าน,1,95.00
B-900929,2025-09-17,P-102,S-90,ออนไลน์,1,28.00
B-900930,2025-09-17,P-103,S-01,หน้าร้าน,1,45.00
B-900931,2025-09-17,P-203,S-04,หน้าร้าน,3,225.00
B-900932,2025-09-17,P-201,S-02,หน้าร้าน,2,190.00
B-900933,2025-09-17,P-301,S-01,หน้าร้าน,1,2450.00
B-900934,2025-09-17,P-202,S-02,หน้าร้าน,1,120.00
B-900935,2025-09-17,P-302,S-01,หน้าร้าน,1,3890.00
B-900936,2025-09-17,P-103,S-04,หน้าร้าน,1,45.00
B-900937,2025-09-17,P-301,S-03,หน้าร้าน,3,7350.00
B-900938,2025-09-17,P-102,S-04,หน้าร้าน,1,28.00
B-900939,2025-09-17,P-202,S-05,หน้าร้าน,1,120.00
B-900940,2025-09-17,P-102,S-01,หน้าร้าน,1,28.00
B-900941,2025-09-17,P-201,S-90,ออนไลน์,1,95.00
B-900942,2025-09-17,P-301,S-01,หน้าร้าน,2,4900.00
B-900943,2025-09-17,P-103,S-03,หน้าร้าน,1,45.00
B-900944,2025-09-17,P-301,S-90,ออนไลน์,1,2450.00
B-900945,2025-09-17,P-302,S-90,ออนไลน์,1,3890.00
B-900946,2025-09-17,P-201,S-03,หน้าร้าน,1,95.00
B-900947,2025-09-17,P-102,S-01,หน้าร้าน,1,28.00
B-900948,2025-09-17,P-301,S-03,หน้าร้าน,1,2450.00
B-900949,2025-09-17,P-203,S-90,ออนไลน์,2,150.00
B-900950,2025-09-17,P-302,S-05,หน้าร้าน,2,7780.00
B-900951,2025-09-17,P-201,S-06,หน้าร้าน,2,190.00
B-900952,2025-09-17,P-301,S-05,หน้าร้าน,2,4900.00
B-900953,2025-09-17,P-201,S-06,หน้าร้าน,1,95.00
B-900954,2025-09-17,P-302,S-04,หน้าร้าน,3,11670.00
B-900955,2025-09-17,P-203,S-03,หน้าร้าน,1,75.00
B-900956,2025-09-17,P-301,S-01,หน้าร้าน,2,4900.00
B-900957,2025-09-17,P-101,S-05,หน้าร้าน,1,35.00
B-900958,2025-09-17,P-102,S-06,หน้าร้าน,1,28.00
B-900959,2025-09-17,P-103,S-04,หน้าร้าน,1,45.00
B-900960,2025-09-17,P-203,S-01,หน้าร้าน,2,150.00
B-900961,2025-09-17,P-202,S-90,ออนไลน์,1,120.00
B-900962,2025-09-17,P-103,S-01,หน้าร้าน,1,45.00
B-900963,2025-09-17,P-102,S-03,หน้าร้าน,1,28.00
B-900964,2025-09-17,P-301,S-04,หน้าร้าน,1,2450.00
B-900965,2025-09-17,P-201,S-03,หน้าร้าน,1,95.00
B-900966,2025-09-17,P-102,S-06,หน้าร้าน,1,28.00
