txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901478,2025-09-29,P-302,S-05,หน้าร้าน,1,3890.00
B-901479,2025-09-29,P-102,S-03,หน้าร้าน,1,28.00
B-901480,2025-09-29,P-201,S-04,หน้าร้าน,2,190.00
B-901481,2025-09-29,P-301,S-02,หน้าร้าน,1,2450.00
B-901482,2025-09-29,P-103,S-01,หน้าร้าน,1,45.00
B-901483,2025-09-29,P-203,S-02,หน้าร้าน,1,75.00
B-901484,2025-09-29,P-202,S-06,หน้าร้าน,1,120.00
B-901485,2025-09-29,P-103,S-06,หน้าร้าน,1,45.00
B-901486,2025-09-29,P-101,S-01,หน้าร้าน,3,105.00
B-901487,2025-09-29,P-101,S-03,หน้าร้าน,1,35.00
B-901488,2025-09-29,P-201,S-01,หน้าร้าน,1,95.00
B-901489,2025-09-29,P-103,S-04,หน้าร้าน,1,45.00
B-901490,2025-09-29,P-201,S-90,ออนไลน์,1,95.00
B-901491,2025-09-29,P-301,S-01,หน้าร้าน,1,2450.00
B-901492,2025-09-29,P-101,S-90,ออนไลน์,2,70.00
B-901493,2025-09-29,P-201,S-06,หน้าร้าน,1,95.00
B-901494,2025-09-29,P-201,S-05,หน้าร้าน,1,95.00
B-901495,2025-09-29,P-201,S-04,หน้าร้าน,1,95.00
B-901496,2025-09-29,P-201,S-03,หน้าร้าน,1,95.00
B-901497,2025-09-29,P-302,S-05,หน้าร้าน,1,3890.00
B-901498,2025-09-29,P-103,S-03,หน้าร้าน,1,45.00
B-901499,2025-09-29,P-202,S-02,หน้าร้าน,1,120.00
B-901500,2025-09-29,P-101,S-04,หน้าร้าน,1,35.00
B-901501,2025-09-29,P-301,S-01,หน้าร้าน,1,2450.00
B-901502,2025-09-29,P-202,S-01,หน้าร้าน,2,240.00
B-901503,2025-09-29,P-302,S-02,หน้าร้าน,1,3890.00
B-901504,2025-09-29,P-201,S-01,หน้าร้าน,1,95.00
B-901505,2025-09-29,P-301,S-01,หน้าร้าน,1,2450.00
B-901506,2025-09-29,P-101,S-04,หน้าร้าน,1,35.00
B-901507,2025-09-29,P-101,S-05,หน้าร้าน,1,35.00
B-901508,2025-09-29,P-203,S-01,หน้าร้าน,1,75.00
B-901509,2025-09-29,P-203,S-06,หน้าร้าน,2,150.00
B-901510,2025-09-29,P-203,S-05,หน้าร้าน,1,75.00
B-901511,2025-09-29,P-201,S-03,หน้าร้าน,1,95.00
B-901512,2025-09-29,P-201,S-05,หน้าร้าน,1,95.00
B-901513,2025-09-29,P-201,S-04,หน้าร้าน,1,95.00
B-901514,2025-09-29,P-101,S-03,หน้าร้าน,1,35.00
B-901515,2025-09-29,P-103,S-01,หน้าร้าน,1,45.00
B-901516,2025-09-29,P-102,S-06,หน้าร้าน,1,28.00
B-901517,2025-09-29,P-101,S-05,หน้าร้าน,2,70.00
B-901518,2025-09-29,P-302,S-01,หน้าร้าน,3,11670.00
B-901519,2025-09-29,P-103,S-90,ออนไลน์,2,90.00
B-901520,2025-09-29,P-101,S-06,หน้าร้าน,1,35.00
B-901521,2025-09-29,P-201,S-06,หน้าร้าน,1,95.00
B-901522,2025-09-29,P-102,S-01,หน้าร้าน,2,56.00
B-901523,2025-09-29,P-101,S-90,ออนไลน์,1,35.00
B-901524,2025-09-29,P-101,S-06,หน้าร้าน,1,35.00
B-901525,2025-09-29,P-202,S-05,หน้าร้าน,1,120.00
B-901526,2025-09-29,P-201,S-90,ออนไลน์,1,95.00
B-901527,2025-09-29,P-102,S-02,หน้าร้าน,1,28.00
B-901528,2025-09-29,P-101,S-03,หน้าร้าน,1,35.00
