txn_id,txn_date,sku,store_id,quantity,amount
B-900357,2025-09-07,P-203,S-02,1,75.00
B-900358,2025-09-07,P-102,S-06,1,28.00
B-900359,2025-09-07,P-103,S-04,3,135.00
B-900360,2025-09-07,P-201,S-04,1,95.00
B-900361,2025-09-07,P-302,S-02,1,3890.00
B-900362,2025-09-07,P-201,S-90,1,95.00
B-900363,2025-09-07,P-103,S-04,1,45.00
B-900364,2025-09-07,P-102,S-06,2,56.00
B-900365,2025-09-07,P-302,S-01,1,3890.00
B-900366,2025-09-07,P-201,S-05,2,190.00
B-900367,2025-09-07,P-101,S-04,2,70.00
B-900368,2025-09-07,P-203,S-02,1,75.00
B-900369,2025-09-07,P-103,S-06,1,45.00
B-900370,2025-09-07,P-201,S-90,2,190.00
B-900371,2025-09-07,P-201,S-05,1,95.00
B-900372,2025-09-07,P-202,S-02,2,240.00
B-900373,2025-09-07,P-203,S-90,1,75.00
B-900374,2025-09-07,P-203,S-90,1,75.00
B-900375,2025-09-07,P-102,S-03,1,28.00
B-900376,2025-09-07,P-301,S-90,1,2450.00
B-900377,2025-09-07,P-102,S-01,1,28.00
B-900378,2025-09-07,P-101,S-03,1,35.00
B-900379,2025-09-07,P-301,S-01,1,2450.00
B-900380,2025-09-07,P-103,S-02,1,45.00
B-900381,2025-09-07,P-302,S-03,1,3890.00
B-900382,2025-09-07,P-302,S-03,1,3890.00
B-900383,2025-09-07,P-102,S-02,1,28.00
B-900384,2025-09-07,P-302,S-06,1,3890.00
B-900385,2025-09-07,P-301,S-02,1,2450.00
B-900386,2025-09-07,P-301,S-04,3,7350.00
B-900387,2025-09-07,P-203,S-04,1,75.00
B-900388,2025-09-07,P-201,S-05,1,95.00
B-900389,2025-09-07,P-202,S-02,1,120.00
B-900390,2025-09-07,P-203,S-06,1,75.00
B-900391,2025-09-07,P-302,S-90,1,3890.00
B-900392,2025-09-07,P-302,S-04,1,3890.00
B-900393,2025-09-07,P-201,S-02,1,95.00
B-900394,2025-09-07,P-103,S-05,1,45.00
B-900395,2025-09-07,P-201,S-06,1,95.00
B-900396,2025-09-07,P-301,S-03,1,2450.00
B-900397,2025-09-07,P-301,S-04,1,2450.00
B-900398,2025-09-07,P-302,S-05,3,11670.00
B-900399,2025-09-07,P-101,S-03,2,70.00
B-900400,2025-09-07,P-202,S-90,1,120.00
B-900401,2025-09-07,P-101,S-01,1,35.00
B-900402,2025-09-07,P-201,S-05,1,95.00
B-900403,2025-09-07,P-201,S-06,1,95.00
B-900404,2025-09-07,P-101,S-05,1,35.00
B-900405,2025-09-07,P-201,S-04,2,190.00
B-900406,2025-09-07,P-302,S-04,1,3890.00
B-900407,2025-09-07,P-202,S-02,1,120.00
B-900408,2025-09-07,P-203,S-04,2,150.00
B-900409,2025-09-07,P-302,S-05,1,3890.00
B-900410,2025-09-07,P-203,S-05,1,75.00
B-900411,2025-09-07,P-301,S-05,1,2450.00
B-900412,2025-09-07,P-101,S-05,1,35.00
B-900413,2025-09-07,P-301,S-06,2,4900.00
B-900414,2025-09-07,P-201,S-05,1,95.00
B-900415,2025-09-07,P-103,S-06,1,45.00
B-900416,2025-09-07,P-202,S-06,1,120.00
B-900417,2025-09-07,P-302,S-90,2,7780.00
B-900418,2025-09-07,P-302,S-06,2,7780.00
B-900419,2025-09-07,P-203,S-03,1,75.00
B-900420,2025-09-07,P-103,S-03,2,90.00
B-900421,2025-09-07,P-103,S-90,1,45.00
B-900422,2025-09-07,P-101,S-01,1,35.00
