txn_id,txn_date,sku,store_id,quantity,amount
B-900423,2025-09-08,P-202,S-05,1,120.00
B-900424,2025-09-08,P-302,S-03,2,7780.00
B-900425,2025-09-08,P-202,S-04,1,120.00
B-900426,2025-09-08,P-103,S-05,1,45.00
B-900427,2025-09-08,P-102,S-05,2,56.00
B-900428,2025-09-08,P-102,S-02,3,84.00
B-900429,2025-09-08,P-302,S-05,2,7780.00
B-900430,2025-09-08,P-101,S-01,1,35.00
B-900431,2025-09-08,P-203,S-05,1,75.00
B-900432,2025-09-08,P-102,S-01,1,28.00
B-900433,2025-09-08,P-102,S-06,1,28.00
B-900434,2025-09-08,P-201,S-06,1,95.00
B-900435,2025-09-08,P-201,S-02,1,95.00
B-900436,2025-09-08,P-202,S-05,1,120.00
B-900437,2025-09-08,P-302,S-02,1,3890.00
B-900438,2025-09-08,P-302,S-01,1,3890.00
B-900439,2025-09-08,P-102,S-02,1,28.00
B-900440,2025-09-08,P-302,S-04,1,3890.00
B-900441,2025-09-08,P-301,S-90,1,2450.00
B-900442,2025-09-08,P-301,S-01,1,2450.00
B-900443,2025-09-08,P-102,S-05,1,28.00
B-900444,2025-09-08,P-102,S-05,2,56.00
B-900445,2025-09-08,P-301,S-06,3,7350.00
B-900446,2025-09-08,P-102,S-05,2,56.00
B-900447,2025-09-08,P-302,S-90,1,3890.00
B-900448,2025-09-08,P-101,S-03,1,35.00
B-900449,2025-09-08,P-302,S-03,1,3890.00
B-900450,2025-09-08,P-301,S-04,1,2450.00
B-900451,2025-09-08,P-302,S-01,1,3890.00
B-900452,2025-09-08,P-301,S-03,2,4900.00
B-900453,2025-09-08,P-202,S-06,1,120.00
B-900454,2025-09-08,P-201,S-02,3,285.00
B-900455,2025-09-08,P-301,S-04,1,2450.00
B-900456,2025-09-08,P-302,S-05,1,3890.00
B-900457,2025-09-08,P-101,S-04,1,35.00
B-900458,2025-09-08,P-103,S-02,1,45.00
B-900459,2025-09-08,P-102,S-01,2,56.00
B-900460,2025-09-08,P-103,S-05,1,45.00
B-900461,2025-09-08,P-103,S-01,1,45.00
B-900462,2025-09-08,P-301,S-06,1,2450.00
B-900463,2025-09-08,P-302,S-01,2,7780.00
B-900464,2025-09-08,P-203,S-02,1,75.00
B-900465,2025-09-08,P-103,S-02,3,135.00
B-900466,2025-09-08,P-101,S-06,1,35.00
B-900467,2025-09-08,P-103,S-02,1,45.00
B-900468,2025-09-08,P-101,S-05,2,70.00
B-900469,2025-09-08,P-103,S-04,2,90.00
B-900470,2025-09-08,P-301,S-02,1,2450.00
B-900471,2025-09-08,P-301,S-05,3,7350.00
B-900472,2025-09-08,P-201,S-03,1,95.00
B-900473,2025-09-08,P-101,S-05,1,35.00
B-900474,2025-09-08,P-203,S-90,1,75.00
B-900475,2025-09-08,P-101,S-01,1,35.00
B-900476,2025-09-08,P-102,S-04,1,28.00
B-900477,2025-09-08,P-202,S-05,1,120.00
B-900478,2025-09-08,P-101,S-90,1,35.00
B-900479,2025-09-08,P-101,S-06,3,105.00
B-900480,2025-09-08,P-203,S-02,2,150.00
B-900481,2025-09-08,P-102,S-06,1,28.00
B-900482,2025-09-08,P-102,S-04,1,28.00
B-900483,2025-09-08,P-301,S-03,1,2450.00
B-900484,2025-09-08,P-301,S-05,1,2450.00
B-900485,2025-09-08,P-103,S-04,1,45.00
B-900486,2025-09-08,P-301,S-01,2,4900.00
