txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901329,2025-09-25,P-201,S-90,ออนไลน์,1,95.00
B-901330,2025-09-25,P-102,S-02,หน้าร้าน,1,28.00
B-901331,2025-09-25,P-202,S-06,หน้าร้าน,1,120.00
B-901332,2025-09-25,P-201,S-04,หน้าร้าน,2,190.00
B-901333,2025-09-25,P-203,S-01,หน้าร้าน,1,75.00
B-901334,2025-09-25,P-101,S-02,หน้าร้าน,2,70.00
B-901335,2025-09-25,P-101,S-90,ออนไลน์,1,35.00
B-901336,2025-09-25,P-101,S-06,หน้าร้าน,2,70.00
B-901337,2025-09-25,P-102,S-90,ออนไลน์,1,28.00
B-901338,2025-09-25,P-301,S-05,หน้าร้าน,1,2450.00
B-901339,2025-09-25,P-301,S-04,หน้าร้าน,1,2450.00
B-901340,2025-09-25,P-203,S-06,หน้าร้าน,1,75.00
B-901341,2025-09-25,P-203,S-04,หน้าร้าน,1,75.00
B-901342,2025-09-25,P-301,S-02,หน้าร้าน,3,7350.00
B-901343,2025-09-25,P-103,S-01,หน้าร้าน,1,45.00
B-901344,2025-09-25,P-202,S-04,หน้าร้าน,1,120.00
B-901345,2025-09-25,P-203,S-04,หน้าร้าน,1,75.00
B-901346,2025-09-25,P-202,S-03,หน้าร้าน,1,120.00
B-901347,2025-09-25,P-103,S-90,ออนไลน์,1,45.00
B-901348,2025-09-25,P-302,S-05,หน้าร้าน,1,3890.00
B-901349,2025-09-25,P-102,S-02,หน้าร้าน,1,28.00
B-901350,2025-09-25,P-203,S-04,หน้าร้าน,1,75.00
B-901351,2025-09-25,P-101,S-04,หน้าร้าน,2,70.00
B-901352,2025-09-25,P-201,S-05,หน้าร้าน,1,95.00
B-901353,2025-09-25,P-101,S-90,ออนไลน์,1,35.00
B-901354,2025-09-25,P-102,S-06,หน้าร้าน,1,28.00
B-901355,2025-09-25,P-302,S-05,หน้าร้าน,3,11670.00
B-901356,2025-09-25,P-302,S-01,หน้าร้าน,2,7780.00
B-901357,2025-09-25,P-202,S-02,หน้าร้าน,1,120.00
B-901358,2025-09-25,P-101,S-90,ออนไลน์,1,35.00
B-901359,2025-09-25,P-202,S-04,หน้าร้าน,1,120.00
B-901360,2025-09-25,P-201,S-05,หน้าร้าน,1,95.00
B-901361,2025-09-25,P-202,S-05,หน้าร้าน,1,120.00
B-901362,2025-09-25,P-103,S-90,ออนไลน์,1,45.00
B-901363,2025-09-25,P-101,S-04,หน้าร้าน,1,35.00
B-901364,2025-09-25,P-103,S-90,ออนไลน์,1,45.00
B-901365,2025-09-25,P-201,S-90,ออนไลน์,2,190.00
B-901366,2025-09-25,P-301,S-01,หน้าร้าน,1,2450.00
B-901367,2025-09-25,P-202,S-01,หน้าร้าน,2,240.00
B-901368,2025-09-25,P-203,S-02,หน้าร้าน,3,225.00
B-901369,2025-09-25,P-201,S-05,หน้าร้าน,2,190.00
B-901370,2025-09-25,P-301,S-06,หน้าร้าน,2,4900.00
B-901371,2025-09-25,P-103,S-05,หน้าร้าน,2,90.00
B-901372,2025-09-25,P-302,S-02,หน้าร้าน,1,3890.00
B-901373,2025-09-25,P-102,S-01,หน้าร้าน,1,28.00
