txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901426,2025-09-28,P-101,S-06,หน้าร้าน,2,70.00
B-901427,2025-09-28,P-201,S-05,หน้าร้าน,1,95.00
B-901428,2025-09-28,P-101,S-03,หน้าร้าน,1,35.00
B-901429,2025-09-28,P-101,S-06,หน้าร้าน,1,35.00
B-901430,2025-09-28,P-102,S-06,หน้าร้าน,1,28.00
B-901431,2025-09-28,P-201,S-04,หน้าร้าน,1,95.00
B-901432,2025-09-28,P-103,S-02,หน้าร้าน,1,45.00
B-901433,2025-09-28,P-103,S-04,หน้าร้าน,3,135.00
B-901434,2025-09-28,P-101,S-02,หน้าร้าน,1,35.00
B-901435,2025-09-28,P-103,S-06,หน้าร้าน,3,135.00
B-901436,2025-09-28,P-302,S-06,หน้าร้าน,1,3890.00
B-901437,2025-09-28,P-202,S-06,หน้าร้าน,3,360.00
B-901438,2025-09-28,P-302,S-06,หน้าร้าน,3,11670.00
B-901439,2025-09-28,P-302,S-04,หน้าร้าน,1,3890.00
B-901440,2025-09-28,P-202,S-02,หน้าร้าน,1,120.00
B-901441,2025-09-28,P-101,S-06,หน้าร้าน,1,35.00
B-901442,2025-09-28,P-201,S-06,หน้าร้าน,1,95.00
B-901443,2025-09-28,P-302,S-90,ออนไลน์,3,11670.00
B-901444,2025-09-28,P-202,S-05,หน้าร้าน,1,120.00
B-901445,2025-09-28,P-302,S-06,หน้าร้าน,2,7780.00
B-901446,2025-09-28,P-201,S-01,หน้าร้าน,1,95.00
B-901447,2025-09-28,P-203,S-02,หน้าร้าน,1,75.00
B-901448,2025-09-28,P-203,S-06,หน้าร้าน,2,150.00
B-901449,2025-09-28,P-201,S-02,หน้าร้าน,2,190.00
B-901450,2025-09-28,P-301,S-02,หน้าร้าน,2,4900.00
B-901451,2025-09-28,P-103,S-01,หน้าร้าน,1,45.00
B-901452,2025-09-28,P-101,S-01,หน้าร้าน,1,35.00
B-901453,2025-09-28,P-301,S-06,หน้าร้าน,2,4900.00
B-901454,2025-09-28,P-101,S-05,หน้าร้าน,1,35.00
B-901455,2025-09-28,P-101,S-02,หน้าร้าน,2,70.00
B-901456,2025-09-28,P-102,S-03,หน้าร้าน,1,28.00
B-901457,2025-09-28,P-202,S-90,ออนไลน์,1,120.00
B-901458,2025-09-28,P-203,S-06,หน้าร้าน,1,75.00
B-901459,2025-09-28,P-301,S-02,หน้าร้าน,3,7350.00
B-901460,2025-09-28,P-301,S-90,ออนไลน์,3,7350.00
B-901461,2025-09-28,P-301,S-03,หน้าร้าน,1,2450.00
B-901462,2025-09-28,P-102,S-01,หน้าร้าน,1,28.00
B-901463,2025-09-28,P-102,S-90,ออนไลน์,1,28.00
B-901464,2025-09-28,P-202,S-03,หน้าร้าน,1,120.00
B-901465,2025-09-28,P-103,S-90,ออนไลน์,2,90.00
B-901466,2025-09-28,P-101,S-05,หน้าร้าน,1,35.00
B-901467,2025-09-28,P-302,S-05,หน้าร้าน,1,3890.00
B-901468,2025-09-28,P-102,S-90,ออนไลน์,1,28.00
B-901469,2025-09-28,P-101,S-90,ออนไลน์,2,70.00
B-901470,2025-09-28,P-101,S-06,หน้าร้าน,2,70.00
B-901471,2025-09-28,P-302,S-05,หน้าร้าน,1,3890.00
B-901472,2025-09-28,P-301,S-06,หน้าร้าน,1,2450.00
B-901473,2025-09-28,P-302,S-05,หน้าร้าน,1,3890.00
B-901474,2025-09-28,P-201,S-90,ออนไลน์,1,95.00
B-901475,2025-09-28,P-102,S-05,หน้าร้าน,1,28.00
B-901476,2025-09-28,P-101,S-03,หน้าร้าน,2,70.00
B-901477,2025-09-28,P-301,S-03,หน้าร้าน,1,2450.00
