txn_id,txn_date,sku,store_id,quantity,amount
B-900188,2025-09-04,P-201,S-05,1,95.00
B-900189,2025-09-04,P-101,S-01,1,35.00
B-900190,2025-09-04,P-102,S-02,1,28.00
B-900191,2025-09-04,P-203,S-05,3,225.00
B-900192,2025-09-04,P-201,S-01,1,95.00
B-900193,2025-09-04,P-101,S-02,2,70.00
B-900194,2025-09-04,P-101,S-90,1,35.00
B-900195,2025-09-04,P-203,S-04,1,75.00
B-900196,2025-09-04,P-101,S-05,1,35.00
B-900197,2025-09-04,P-301,S-01,3,7350.00
B-900198,2025-09-04,P-101,S-02,1,35.00
B-900199,2025-09-04,P-102,S-05,1,28.00
B-900200,2025-09-04,P-103,S-90,2,90.00
B-900201,2025-09-04,P-202,S-90,1,120.00
B-900202,2025-09-04,P-201,S-05,1,95.00
B-900203,2025-09-04,P-201,S-02,1,95.00
B-900204,2025-09-04,P-302,S-03,1,3890.00
B-900205,2025-09-04,P-103,S-01,3,135.00
B-900206,2025-09-04,P-201,S-05,1,95.00
B-900207,2025-09-04,P-101,S-03,1,35.00
B-900208,2025-09-04,P-301,S-06,2,4900.00
B-900209,2025-09-04,P-301,S-02,1,2450.00
B-900210,2025-09-04,P-302,S-04,1,3890.00
B-900211,2025-09-04,P-203,S-03,1,75.00
B-900212,2025-09-04,P-103,S-05,1,45.00
B-900213,2025-09-04,P-101,S-03,2,70.00
B-900214,2025-09-04,P-103,S-03,2,90.00
B-900215,2025-09-04,P-102,S-90,2,56.00
B-900216,2025-09-04,P-302,S-03,1,3890.00
B-900217,2025-09-04,P-202,S-06,1,120.00
B-900218,2025-09-04,P-203,S-06,1,75.00
B-900219,2025-09-04,P-203,S-03,1,75.00
B-900220,2025-09-04,P-201,S-04,3,285.00
B-900221,2025-09-04,P-302,S-90,3,11670.00
B-900222,2025-09-04,P-101,S-01,1,35.00
B-900223,2025-09-04,P-103,S-03,1,45.00
B-900224,2025-09-04,P-301,S-06,2,4900.00
B-900225,2025-09-04,P-302,S-05,3,11670.00
B-900226,2025-09-04,P-302,S-01,1,3890.00
B-900227,2025-09-04,P-101,S-02,1,35.00
B-900228,2025-09-04,P-302,S-03,2,7780.00
B-900229,2025-09-04,P-301,S-01,1,2450.00
B-900230,2025-09-04,P-101,S-04,2,70.00
B-900231,2025-09-04,P-203,S-05,1,75.00
B-900232,2025-09-04,P-101,S-90,1,35.00
B-900233,2025-09-04,P-101,S-06,1,35.00
B-900234,2025-09-04,P-103,S-01,2,90.00
B-900235,2025-09-04,P-202,S-02,1,120.00
B-900236,2025-09-04,P-203,S-05,2,150.00
B-900237,2025-09-04,P-202,S-05,3,360.00
B-900238,2025-09-04,P-101,S-02,1,35.00
B-900239,2025-09-04,P-203,S-06,2,150.00
B-900240,2025-09-04,P-103,S-05,1,45.00
B-900241,2025-09-04,P-201,S-90,2,190.00
B-900242,2025-09-04,P-203,S-02,1,75.00
B-900243,2025-09-04,P-301,S-90,1,2450.00
B-900244,2025-09-04,P-202,S-03,1,120.00
B-900245,2025-09-04,P-302,S-06,1,3890.00
B-900246,2025-09-04,P-102,S-05,1,28.00
B-900247,2025-09-04,P-302,S-04,1,3890.00
B-900248,2025-09-04,P-202,S-06,1,120.00
