txn_id,txn_date,sku,store_id,quantity,amount
B-900124,2025-09-03,P-102,S-06,1,28.00
B-900125,2025-09-03,P-203,S-03,1,75.00
B-900126,2025-09-03,P-202,S-05,1,120.00
B-900127,2025-09-03,P-203,S-02,1,75.00
B-900128,2025-09-03,P-101,S-02,1,35.00
B-900129,2025-09-03,P-301,S-06,1,2450.00
B-900130,2025-09-03,P-102,S-03,1,28.00
B-900131,2025-09-03,P-203,S-06,1,75.00
B-900132,2025-09-03,P-103,S-04,2,90.00
B-900133,2025-09-03,P-203,S-06,2,150.00
B-900134,2025-09-03,P-102,S-90,1,28.00
B-900135,2025-09-03,P-102,S-06,1,28.00
B-900136,2025-09-03,P-301,S-05,1,2450.00
B-900137,2025-09-03,P-203,S-01,2,150.00
B-900138,2025-09-03,P-103,S-02,1,45.00
B-900139,2025-09-03,P-203,S-05,1,75.00
B-900140,2025-09-03,P-203,S-05,1,75.00
B-900141,2025-09-03,P-101,S-05,1,35.00
B-900142,2025-09-03,P-302,S-04,2,7780.00
B-900143,2025-09-03,P-301,S-05,2,4900.00
B-900144,2025-09-03,P-301,S-02,1,2450.00
B-900145,2025-09-03,P-202,S-90,1,120.00
B-900146,2025-09-03,P-301,S-03,1,2450.00
B-900147,2025-09-03,P-102,S-06,1,28.00
B-900148,2025-09-03,P-101,S-05,1,35.00
B-900149,2025-09-03,P-101,S-90,1,35.00
B-900150,2025-09-03,P-202,S-90,1,120.00
B-900151,2025-09-03,P-302,S-05,1,3890.00
B-900152,2025-09-03,P-201,S-90,2,190.00
B-900153,2025-09-03,P-103,S-04,1,45.00
B-900154,2025-09-03,P-301,S-01,1,2450.00
B-900155,2025-09-03,P-203,S-04,2,150.00
B-900156,2025-09-03,P-102,S-02,1,28.00
B-900157,2025-09-03,P-203,S-01,1,75.00
B-900158,2025-09-03,P-102,S-01,1,28.00
B-900159,2025-09-03,P-203,S-05,1,75.00
B-900160,2025-09-03,P-302,S-90,2,7780.00
B-900161,2025-09-03,P-103,S-06,2,90.00
B-900162,2025-09-03,P-103,S-01,1,45.00
B-900163,2025-09-03,P-202,S-03,1,120.00
B-900164,2025-09-03,P-101,S-90,1,35.00
B-900165,2025-09-03,P-302,S-03,1,3890.00
B-900166,2025-09-03,P-101,S-04,2,70.00
B-900167,2025-09-03,P-101,S-01,1,35.00
B-900168,2025-09-03,P-103,S-02,1,45.00
B-900169,2025-09-03,P-101,S-06,2,70.00
B-900170,2025-09-03,P-201,S-03,2,190.00
B-900171,2025-09-03,P-301,S-90,1,2450.00
B-900172,2025-09-03,P-101,S-04,3,105.00
B-900173,2025-09-03,P-202,S-04,2,240.00
B-900174,2025-09-03,P-203,S-01,1,75.00
B-900175,2025-09-03,P-201,S-01,3,285.00
B-900176,2025-09-03,P-103,S-04,1,45.00
B-900177,2025-09-03,P-101,S-02,1,35.00
B-900178,2025-09-03,P-201,S-05,3,285.00
B-900179,2025-09-03,P-203,S-02,1,75.00
B-900180,2025-09-03,P-301,S-90,3,7350.00
B-900181,2025-09-03,P-301,S-90,1,2450.00
B-900182,2025-09-03,P-201,S-04,2,190.00
B-900183,2025-09-03,P-101,S-90,3,105.00
B-900184,2025-09-03,P-201,S-02,2,190.00
B-900185,2025-09-03,P-203,S-03,1,75.00
B-900186,2025-09-03,P-203,S-04,1,75.00
B-900187,2025-09-03,P-301,S-02,1,2450.00
