txn_id,txn_date,sku,store_id,quantity,amount
B-900060,2025-09-02,P-202,S-05,3,360.00
B-900061,2025-09-02,P-203,S-06,2,150.00
B-900062,2025-09-02,P-101,S-01,1,35.00
B-900063,2025-09-02,P-201,S-03,1,95.00
B-900064,2025-09-02,P-302,S-01,2,7780.00
B-900065,2025-09-02,P-203,S-05,1,75.00
B-900066,2025-09-02,P-302,S-05,1,3890.00
B-900067,2025-09-02,P-101,S-90,1,35.00
B-900068,2025-09-02,P-202,S-03,1,120.00
B-900069,2025-09-02,P-102,S-03,3,84.00
B-900070,2025-09-02,P-102,S-90,2,56.00
B-900071,2025-09-02,P-102,S-02,1,28.00
B-900072,2025-09-02,P-302,S-02,1,3890.00
B-900073,2025-09-02,P-102,S-03,1,28.00
B-900074,2025-09-02,P-203,S-04,1,75.00
B-900075,2025-09-02,P-201,S-03,1,95.00
B-900076,2025-09-02,P-101,S-90,1,35.00
B-900077,2025-09-02,P-202,S-01,3,360.00
B-900078,2025-09-02,P-102,S-05,3,84.00
B-900079,2025-09-02,P-301,S-06,1,2450.00
B-900080,2025-09-02,P-102,S-01,2,56.00
B-900081,2025-09-02,P-302,S-06,2,7780.00
B-900082,2025-09-02,P-103,S-03,2,90.00
B-900083,2025-09-02,P-103,S-04,1,45.00
B-900084,2025-09-02,P-203,S-04,2,150.00
B-900085,2025-09-02,P-101,S-05,1,35.00
B-900086,2025-09-02,P-201,S-04,1,95.00
B-900087,2025-09-02,P-101,S-01,2,70.00
B-900088,2025-09-02,P-102,S-03,3,84.00
B-900089,2025-09-02,P-302,S-90,1,3890.00
B-900090,2025-09-02,P-103,S-03,1,45.00
B-900091,2025-09-02,P-202,S-03,1,120.00
B-900092,2025-09-02,P-201,S-05,2,190.00
B-900093,2025-09-02,P-202,S-04,1,120.00
B-900094,2025-09-02,P-302,S-01,1,3890.00
B-900095,2025-09-02,P-201,S-01,1,95.00
B-900096,2025-09-02,P-201,S-01,2,190.00
B-900097,2025-09-02,P-101,S-03,1,35.00
B-900098,2025-09-02,P-102,S-06,2,56.00
B-900099,2025-09-02,P-103,S-90,1,45.00
B-900100,2025-09-02,P-302,S-03,1,3890.00
B-900101,2025-09-02,P-101,S-04,2,70.00
B-900102,2025-09-02,P-302,S-05,1,3890.00
B-900103,2025-09-02,P-201,S-06,1,95.00
B-900104,2025-09-02,P-102,S-03,3,84.00
B-900105,2025-09-02,P-102,S-05,1,28.00
B-900106,2025-09-02,P-201,S-06,1,95.00
B-900107,2025-09-02,P-103,S-06,1,45.00
B-900108,2025-09-02,P-103,S-01,1,45.00
B-900109,2025-09-02,P-301,S-02,1,2450.00
B-900110,2025-09-02,P-203,S-05,3,225.00
B-900111,2025-09-02,P-301,S-04,1,2450.00
B-900112,2025-09-02,P-203,S-04,1,75.00
B-900113,2025-09-02,P-203,S-90,1,75.00
B-900114,2025-09-02,P-102,S-03,1,28.00
B-900115,2025-09-02,P-101,S-06,1,35.00
B-900116,2025-09-02,P-202,S-02,1,120.00
B-900117,2025-09-02,P-103,S-01,1,45.00
B-900118,2025-09-02,P-302,S-02,1,3890.00
B-900119,2025-09-02,P-301,S-06,2,4900.00
B-900120,2025-09-02,P-302,S-03,2,7780.00
B-900121,2025-09-02,P-301,S-01,2,4900.00
B-900122,2025-09-02,P-102,S-04,1,28.00
B-900123,2025-09-02,P-103,S-02,1,45.00
