txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-900967,2025-09-18,P-102,S-90,ออนไลน์,3,84.00
B-900968,2025-09-18,P-202,S-06,หน้าร้าน,1,120.00
B-900969,2025-09-18,P-201,S-05,หน้าร้าน,1,95.00
B-900970,2025-09-18,P-201,S-02,หน้าร้าน,1,95.00
B-900971,2025-09-18,P-101,S-90,ออนไลน์,1,35.00
B-900972,2025-09-18,P-301,S-04,หน้าร้าน,1,2450.00
B-900973,2025-09-18,P-301,S-90,ออนไลน์,1,2450.00
B-900974,2025-09-18,P-201,S-06,หน้าร้าน,1,95.00
B-900975,2025-09-18,P-102,S-01,หน้าร้าน,1,28.00
B-900976,2025-09-18,P-101,S-90,ออนไลน์,2,70.00
B-900977,2025-09-18,P-202,S-06,หน้าร้าน,1,120.00
B-900978,2025-09-18,P-103,S-06,หน้าร้าน,1,45.00
B-900979,2025-09-18,P-202,S-06,หน้าร้าน,2,240.00
B-900980,2025-09-18,P-201,S-05,หน้าร้าน,1,95.00
B-900981,2025-09-18,P-302,S-02,หน้าร้าน,1,3890.00
B-900982,2025-09-18,P-301,S-02,หน้าร้าน,1,2450.00
B-900983,2025-09-18,P-201,S-06,หน้าร้าน,3,285.00
B-900984,2025-09-18,P-201,S-03,หน้าร้าน,1,95.00
B-900985,2025-09-18,P-103,S-03,หน้าร้าน,1,45.00
B-900986,2025-09-18,P-301,S-01,หน้าร้าน,1,2450.00
B-900987,2025-09-18,P-103,S-06,หน้าร้าน,1,45.00
B-900988,2025-09-18,P-302,S-90,ออนไลน์,1,3890.00
B-900989,2025-09-18,P-202,S-03,หน้าร้าน,1,120.00
B-900990,2025-09-18,P-302,S-06,หน้าร้าน,1,3890.00
B-900991,2025-09-18,P-203,S-02,หน้าร้าน,1,75.00
B-900992,2025-09-18,P-301,S-04,หน้าร้าน,1,2450.00
B-900993,2025-09-18,P-301,S-06,หน้าร้าน,1,2450.00
B-900994,2025-09-18,P-101,S-05,หน้าร้าน,1,35.00
B-900995,2025-09-18,P-201,S-03,หน้าร้าน,1,95.00
B-900996,2025-09-18,P-102,S-90,ออนไลน์,1,28.00
B-900997,2025-09-18,P-101,S-03,หน้าร้าน,1,35.00
B-900998,2025-09-18,P-103,S-06,หน้าร้าน,1,45.00
B-900999,2025-09-18,P-302,S-06,หน้าร้าน,1,3890.00
B-901000,2025-09-18,P-302,S-02,หน้าร้าน,1,3890.00
B-901001,2025-09-18,P-102,S-03,หน้าร้าน,1,28.00
B-901002,2025-09-18,P-301,S-02,หน้าร้าน,1,2450.00
B-901003,2025-09-18,P-302,S-02,หน้าร้าน,1,3890.00
B-901004,2025-09-18,P-201,S-90,ออนไลน์,2,190.00
B-901005,2025-09-18,P-302,S-06,หน้าร้าน,1,3890.00
B-901006,2025-09-18,P-201,S-90,ออนไลน์,1,95.00
B-901007,2025-09-18,P-301,S-01,หน้าร้าน,1,2450.00
B-901008,2025-09-18,P-202,S-05,หน้าร้าน,2,240.00
B-901009,2025-09-18,P-201,S-90,ออนไลน์,1,95.00
B-901010,2025-09-18,P-101,S-02,หน้าร้าน,1,35.00
B-901011,2025-09-18,P-102,S-02,หน้าร้าน,3,84.00
B-901012,2025-09-18,P-302,S-06,หน้าร้าน,1,3890.00
B-901013,2025-09-18,P-203,S-05,หน้าร้าน,1,75.00
B-901014,2025-09-18,P-101,S-06,หน้าร้าน,1,35.00
B-901015,2025-09-18,P-302,S-03,หน้าร้าน,1,3890.00
B-901016,2025-09-18,P-103,S-06,หน้าร้าน,2,90.00
B-901017,2025-09-18,P-203,S-05,หน้าร้าน,1,75.00
B-901018,2025-09-18,P-201,S-90,ออนไลน์,1,95.00
B-901019,2025-09-18,P-201,S-90,ออนไลน์,1,95.00
B-901020,2025-09-18,P-102,S-02,หน้าร้าน,1,28.00
B-901021,2025-09-18,P-101,S-04,หน้าร้าน,2,70.00
B-901022,2025-09-18,P-201,S-90,ออนไลน์,1,95.00
B-901023,2025-09-18,P-102,S-04,หน้าร้าน,1,28.00
B-901024,2025-09-18,P-301,S-02,หน้าร้าน,3,7350.00
B-901025,2025-09-18,P-302,S-05,หน้าร้าน,3,11670.00
B-901026,2025-09-18,P-203,S-90,ออนไลน์,1,75.00
B-901579,2025-09-16,P-202,S-02,หน้าร้าน,1,120.00
B-901580,2025-09-16,P-301,S-03,หน้าร้าน,2,4900.00
B-901581,2025-09-16,P-302,S-90,ออนไลน์,1,3890.00
B-901582,2025-09-16,P-301,S-03,หน้าร้าน,2,4900.00
B-901583,2025-09-16,P-202,S-03,หน้าร้าน,1,120.00
B-901584,2025-09-16,P-102,S-05,หน้าร้าน,1,28.00
B-901585,2025-09-16,P-103,S-06,หน้าร้าน,1,45.00
B-901586,2025-09-16,P-102,S-06,หน้าร้าน,1,28.00
B-901587,2025-09-16,P-301,S-90,ออนไลน์,1,2450.00
B-901588,2025-09-16,P-103,S-05,หน้าร้าน,1,45.00
B-901589,2025-09-16,P-102,S-02,หน้าร้าน,1,28.00
B-901590,2025-09-17,P-301,S-01,หน้าร้าน,2,4900.00
B-901591,2025-09-17,P-202,S-06,หน้าร้าน,1,120.00
B-901592,2025-09-17,P-102,S-90,ออนไลน์,1,28.00
B-901593,2025-09-17,P-203,S-04,หน้าร้าน,1,75.00
B-901594,2025-09-17,P-201,S-05,หน้าร้าน,1,95.00
B-901595,2025-09-17,P-101,S-90,ออนไลน์,1,35.00
