txn_id,txn_date,sku,store_id,channel,quantity,net_amount
B-901191,2025-09-22,P-301,S-03,หน้าร้าน,1,2450.00
B-901192,2025-09-22,P-103,S-02,หน้าร้าน,1,45.00
B-901193,2025-09-22,P-302,S-06,หน้าร้าน,2,7780.00
B-901194,2025-09-22,P-302,S-04,หน้าร้าน,2,7780.00
B-901195,2025-09-22,P-302,S-01,หน้าร้าน,1,3890.00
B-901196,2025-09-22,P-101,S-03,หน้าร้าน,1,35.00
B-901197,2025-09-22,P-201,S-04,หน้าร้าน,1,95.00
B-901198,2025-09-22,P-101,S-90,ออนไลน์,2,70.00
B-901199,2025-09-22,P-203,S-01,หน้าร้าน,1,75.00
B-901200,2025-09-22,P-201,S-04,หน้าร้าน,1,95.00
B-901201,2025-09-22,P-203,S-05,หน้าร้าน,1,75.00
B-901202,2025-09-22,P-101,S-02,หน้าร้าน,1,35.00
B-901203,2025-09-22,P-201,S-02,หน้าร้าน,1,95.00
B-901204,2025-09-22,P-202,S-06,หน้าร้าน,1,120.00
B-901205,2025-09-22,P-101,S-01,หน้าร้าน,1,35.00
B-901206,2025-09-22,P-203,S-01,หน้าร้าน,2,150.00
B-901207,2025-09-22,P-203,S-03,หน้าร้าน,1,75.00
B-901208,2025-09-22,P-203,S-03,หน้าร้าน,2,150.00
B-901209,2025-09-22,P-103,S-90,ออนไลน์,1,45.00
B-901210,2025-09-22,P-302,S-05,หน้าร้าน,1,3890.00
B-901211,2025-09-22,P-103,S-01,หน้าร้าน,1,45.00
B-901212,2025-09-22,P-202,S-01,หน้าร้าน,1,120.00
B-901213,2025-09-22,P-101,S-05,หน้าร้าน,1,35.00
B-901214,2025-09-22,P-103,S-06,หน้าร้าน,1,45.00
B-901215,2025-09-22,P-101,S-06,หน้าร้าน,1,35.00
B-901216,2025-09-22,P-202,S-02,หน้าร้าน,2,240.00
B-901217,2025-09-22,P-302,S-02,หน้าร้าน,1,3890.00
B-901218,2025-09-22,P-103,S-05,หน้าร้าน,1,45.00
B-901219,2025-09-22,P-203,S-05,หน้าร้าน,3,225.00
B-901220,2025-09-22,P-203,S-06,หน้าร้าน,1,75.00
B-901221,2025-09-22,P-103,S-02,หน้าร้าน,2,90.00
B-901222,2025-09-22,P-201,S-04,หน้าร้าน,1,95.00
B-901223,2025-09-22,P-101,S-03,หน้าร้าน,1,35.00
B-901224,2025-09-22,P-201,S-06,หน้าร้าน,3,285.00
B-901225,2025-09-22,P-102,S-05,หน้าร้าน,1,28.00
B-901226,2025-09-22,P-101,S-06,หน้าร้าน,3,105.00
B-901227,2025-09-22,P-201,S-02,หน้าร้าน,2,190.00
B-901228,2025-09-22,P-201,S-05,หน้าร้าน,1,95.00
B-901229,2025-09-22,P-302,S-03,หน้าร้าน,3,11670.00
B-901230,2025-09-22,P-301,S-01,หน้าร้าน,1,2450.00
B-901231,2025-09-22,P-202,S-03,หน้าร้าน,1,120.00
B-901232,2025-09-22,P-101,S-05,หน้าร้าน,2,70.00
B-901233,2025-09-22,P-103,S-05,หน้าร้าน,1,45.00
B-901234,2025-09-22,P-103,S-01,หน้าร้าน,1,45.00
B-901235,2025-09-22,P-301,S-01,หน้าร้าน,1,2450.00
B-901236,2025-09-22,P-202,S-02,หน้าร้าน,1,120.00
B-901237,2025-09-22,P-202,S-01,หน้าร้าน,2,240.00
B-901238,2025-09-22,P-201,S-01,หน้าร้าน,3,285.00
B-901239,2025-09-22,P-203,S-90,ออนไลน์,1,75.00
B-901240,2025-09-22,P-101,S-90,ออนไลน์,2,70.00
B-901241,2025-09-22,P-101,S-01,หน้าร้าน,1,35.00
B-901242,2025-09-22,P-101,S-05,หน้าร้าน,2,70.00
